ds_nome,ds_sigla,ds_subpref
MANDAQUI,MAN,SANTANA-TUCURUVI
MARSILAC,MAR,PARELHEIROS
MOEMA,MOE,VILA MARIANA
ARTUR ALVIM,AAL,PENHA
IGUATEMI,IGU,SAO MATEUS
ITAIM BIBI,IBI,PINHEIROS
ITAIM PAULISTA,IPA,ITAIM PAULISTA
JAGUARA,JAG,LAPA
JARDIM SAO LUIS,JDS,M BOI MIRIM
JOSE BONIFACIO,JBO,ITAQUERA
LAJEADO,LAJ,GUAIANASES
LAPA,LAP,LAPA
LIBERDADE,LIB,SE
LIMAO,LIM,CASA VERDE-CACHOEIRINHA
SAUDE,SAU,VILA MARIANA
CURSINO,CUR,IPIRANGA
IPIRANGA,IPI,IPIRANGA
VILA MARIANA,VMN,VILA MARIANA
CIDADE ADEMAR,CAD,CIDADE ADEMAR
RAPOSO TAVARES,RTA,BUTANTA
TUCURUVI,TUC,SANTANA-TUCURUVI
SAO LUCAS,SLU,VILA PRUDENTE
SAPOPEMBA,SAP,SAPOPEMBA
CAMPO BELO,CBE,SANTO AMARO
JABAQUARA,JAB,JABAQUARA
SAO MIGUEL,SMI,SAO MIGUEL
ITAQUERA,ITQ,ITAQUERA
CIDADE TIRADENTES,CTI,CIDADE TIRADENTES
GUAIANASES,GUA,GUAIANASES
JACANA,JAC,JACANA-TREMEMBE
MORUMBI,MOR,BUTANTA
BARRA FUNDA,BFU,LAPA
CANGAIBA,CNG,PENHA
PEDREIRA,PDR,CIDADE ADEMAR
SAO RAFAEL,SRA,SAO MATEUS
SE,SEE,SE
TREMEMBE,TRE,JACANA-TREMEMBE
CAPAO REDONDO,CRE,CAMPO LIMPO
CARRAO,CAR,ARICANDUVA-FORMOSA-CARRAO
CASA VERDE,CVE,CASA VERDE-CACHOEIRINHA
CIDADE DUTRA,CDU,CAPELA DO SOCORRO
CIDADE LIDER,CLD,ITAQUERA
CONSOLACAO,CON,SE
ERMELINO MATARAZZO,ERM,ERMELINO MATARAZZO
FREGUESIA DO O,FRE,FREGUESIA-BRASILANDIA
GRAJAU,GRA,CAPELA DO SOCORRO
MOOCA,MOO,MOOCA
PARI,PRI,MOOCA
PARQUE DO CARMO,PQC,ITAQUERA
PENHA,PEN,PENHA
PERDIZES,PRD,LAPA
PERUS,PRS,PERUS
PINHEIROS,PIN,PINHEIROS
PIRITUBA,PIR,PIRITUBA-JARAGUA
PONTE RASA,PRA,ERMELINO MATARAZZO
REPUBLICA,REP,SE
RIO PEQUENO,RPE,BUTANTA
SACOMA,SAC,IPIRANGA
SANTA CECILIA,SCE,SE
SANTANA,STN,SANTANA-TUCURUVI
SANTO AMARO,SAM,SANTO AMARO
SAO DOMINGOS,SDO,PIRITUBA-JARAGUA
SAO MATEUS,SMT,SAO MATEUS
SOCORRO,SOC,CAPELA DO SOCORRO
TATUAPE,TAT,MOOCA
VILA ANDRADE,VAN,CAMPO LIMPO
VILA CURUCA,VCR,ITAIM PAULISTA
VILA FORMOSA,VFO,ARICANDUVA-FORMOSA-CARRAO
VILA GUILHERME,VGL,VILA MARIA-VILA GUILHERME
VILA JACUI,VJA,SAO MIGUEL
VILA LEOPOLDINA,VLE,LAPA
VILA MARIA,VMR,VILA MARIA-VILA GUILHERME
VILA MATILDE,VMT,PENHA
VILA MEDEIROS,VMD,VILA MARIA-VILA GUILHERME
VILA PRUDENTE,VPR,VILA PRUDENTE
JARDIM ANGELA,JDA,M BOI MIRIM
PARELHEIROS,PLH,PARELHEIROS
VILA SONIA,VSO,BUTANTA
AGUA RASA,ARA,MOOCA
ALTO DE PINHEIROS,API,PINHEIROS
ANHANGUERA,ANH,PERUS
ARICANDUVA,ARI,ARICANDUVA-FORMOSA-CARRAO
BELA VISTA,BVI,SE
BELEM,BEL,MOOCA
BOM RETIRO,BRE,SE
BRAS,BRS,MOOCA
BRASILANDIA,BRL,FREGUESIA-BRASILANDIA
BUTANTA,BUT,BUTANTA
CACHOEIRINHA,CAC,CASA VERDE-CACHOEIRINHA
CAMBUCI,CMB,SE
CAMPO GRANDE,CGR,SANTO AMARO
CAMPO LIMPO,CLM,CAMPO LIMPO
JAGUARE,JRE,LAPA
JARAGUA,JAR,PIRITUBA-JARAGUA
JARDIM HELENA,JDH,SAO MIGUEL
JARDIM PAULISTA,JDP,PINHEIROS
