distrito,ano,qtd_familias,ds_nome
Parque Do Carmo,2013,6041.0,PARQUE DO CARMO
Pedreira,2013,2780.0,PEDREIRA
Penha,2013,199.0,PENHA
Perdizes,2013,2947.0,PERDIZES
Perus,2013,317.0,PERUS
Pinheiros,2013,4908.0,PINHEIROS
Pirituba,2013,2815.0,PIRITUBA
Raposo Tavares,2013,4112.0,RAPOSO TAVARES
República,2013,1478.0,REPUBLICA
Rio Pequeno,2013,4548.0,RIO PEQUENO
Santa Cecília,2013,2487.0,SANTA CECILIA
Santana,2013,7748.0,SANTANA
Santo Amaro,2013,4187.0,SANTO AMARO
São Domingos,2013,9442.0,SAO DOMINGOS
São Lucas,2013,7253.0,SAO LUCAS
São Mateus,2013,673.0,SAO MATEUS
São Miguel,2013,15901.0,SAO MIGUEL
Saúde,2013,549.0,SAUDE
Sé,2013,2138.0,SE
Socorro,2013,405.0,SOCORRO
Tatuapé,2013,819.0,TATUAPE
Tremembé,2013,6368.0,TREMEMBE
Tucuruvi,2013,862.0,TUCURUVI
Vila Andrade,2013,6535.0,VILA ANDRADE
Pari,2013,862.0,PARI
Vila Curuçá,2013,8568.0,VILA CURUCA
Vila Formosa,2013,1555.0,VILA FORMOSA
Vila Guilherme,2013,548.0,VILA GUILHERME
Vila Jacuí,2013,7085.0,VILA JACUI
Vila Leopoldina,2013,327.0,VILA LEOPOLDINA
Vila Maria,2013,3559.0,VILA MARIA
Ipiranga,2013,2179.0,IPIRANGA
Itaim Bibi,2013,310.0,ITAIM BIBI
Itaim Paulista,2013,12746.0,ITAIM PAULISTA
Jardim Paulista,2013,174.0,JARDIM PAULISTA
Jardim São Luís,2013,15534.0,JARDIM SAO LUIS
José Bonifácio,2013,4041.0,JOSE BONIFACIO
Lajeado,2013,11418.0,LAJEADO
Lapa,2013,345.0,LAPA
Liberdade,2013,665.0,LIBERDADE
Limão,2013,1999.0,LIMAO
Mandaqui,2013,1458.0,MANDAQUI
Moema,2013,78.0,MOEMA
Vila Mariana,2013,488.0,VILA MARIANA
Vila Matilde,2013,2164.0,VILA MATILDE
Vila Medeiros,2013,2861.0,VILA MEDEIROS
Vila Prudente,2013,1599.0,VILA PRUDENTE
Vila Sônia,2013,2781.0,VILA SONIA
Água Rasa,2013,994.0,AGUA RASA
Alto De Pinheiros,2013,99.0,ALTO DE PINHEIROS
Anhanguera,2013,1606.0,ANHANGUERA
Aricanduva,2013,2588.0,ARICANDUVA
Cursino,2013,1490.0,CURSINO
Ermelino Matarazzo,2013,5856.0,ERMELINO MATARAZZO
Freguesia Do Ó,2013,3633.0,FREGUESIA DO O
Grajaú,2013,23445.0,GRAJAU
Guaianases,2013,5993.0,GUAIANASES
Sacomã,2013,2528.0,SACOMA
Iguatemi,2013,7653.0,IGUATEMI
Brás,2013,871.0,BRAS
Brasilândia,2013,18030.0,BRASILANDIA
Butantã,2013,1068.0,BUTANTA
Cachoeirinha,2013,6862.0,CACHOEIRINHA
Campo Belo,2013,885.0,CAMPO BELO
Campo Grande,2013,1384.0,CAMPO GRANDE
Cangaíba,2013,5737.0,CANGAIBA
Capão Redondo,2013,18223.0,CAPAO REDONDO
Carrão,2013,1259.0,CARRAO
Itaquera,2013,9510.0,ITAQUERA
Jabaquara,2013,6040.0,JABAQUARA
Jaçanã,2013,2679.0,JACANA
Jaguara,2013,416.0,JAGUARA
Jaraguá,2013,7720.0,JARAGUA
Jardim Ângela,2013,19914.0,JARDIM ANGELA
Jardim Helena,2013,8893.0,JARDIM HELENA
Jaguaré,2013,1267.0,JAGUARE
Artur Alvim,2013,3734.0,ARTUR ALVIM
Barra Funda,2013,331.0,BARRA FUNDA
Bela Vista,2013,1090.0,BELA VISTA
Belém,2013,824.0,BELEM
Bom Retiro,2013,989.0,BOM RETIRO
Cambuci,2013,509.0,CAMBUCI
Casa Verde,2013,1701.0,CASA VERDE
Cidade Ademar,2013,11807.0,CIDADE ADEMAR
Moóca,2013,1512.0,MOOCA
Morumbi,2013,2049.0,MORUMBI
Parelheiros,2013,9058.0,PARELHEIROS
São Rafael,2013,650.0,SAO RAFAEL
Sapopemba,2013,1935.0,SAPOPEMBA
Marsilac,2013,293.0,MARSILAC
Ponte Rasa,2013,3459.0,PONTE RASA
Campo Limpo,2013,12263.0,CAMPO LIMPO
Cidade Dutra,2013,10886.0,CIDADE DUTRA
Cidade Líder,2013,4711.0,CIDADE LIDER
Cidade Tiradentes,2013,13266.0,CIDADE TIRADENTES
Consolação,2013,96.0,CONSOLACAO
Parque Do Carmo,2014,8453.0,PARQUE DO CARMO
Pedreira,2014,3421.0,PEDREIRA
Penha,2014,260.0,PENHA
Perdizes,2014,4528.0,PERDIZES
Perus,2014,327.0,PERUS
Pinheiros,2014,6706.0,PINHEIROS
Pirituba,2014,3543.0,PIRITUBA
Raposo Tavares,2014,4849.0,RAPOSO TAVARES
República,2014,1370.0,REPUBLICA
Rio Pequeno,2014,5009.0,RIO PEQUENO
Santa Cecília,2014,3126.0,SANTA CECILIA
Santana,2014,10841.0,SANTANA
Santo Amaro,2014,5522.0,SANTO AMARO
São Domingos,2014,12332.0,SAO DOMINGOS
São Lucas,2014,9173.0,SAO LUCAS
São Mateus,2014,610.0,SAO MATEUS
São Miguel,2014,18582.0,SAO MIGUEL
Saúde,2014,635.0,SAUDE
Sé,2014,1564.0,SE
Socorro,2014,442.0,SOCORRO
Tatuapé,2014,823.0,TATUAPE
Tremembé,2014,6870.0,TREMEMBE
Tucuruvi,2014,928.0,TUCURUVI
Vila Andrade,2014,6725.0,VILA ANDRADE
Pari,2014,652.0,PARI
Vila Curuçá,2014,11334.0,VILA CURUCA
Vila Formosa,2014,1913.0,VILA FORMOSA
Vila Guilherme,2014,735.0,VILA GUILHERME
Vila Jacuí,2014,9476.0,VILA JACUI
Vila Leopoldina,2014,416.0,VILA LEOPOLDINA
Vila Maria,2014,4003.0,VILA MARIA
Ipiranga,2014,2801.0,IPIRANGA
Itaim Bibi,2014,373.0,ITAIM BIBI
Itaim Paulista,2014,16457.0,ITAIM PAULISTA
Jardim Paulista,2014,147.0,JARDIM PAULISTA
Jardim São Luís,2014,18514.0,JARDIM SAO LUIS
José Bonifácio,2014,5141.0,JOSE BONIFACIO
Lajeado,2014,14497.0,LAJEADO
Lapa,2014,426.0,LAPA
Liberdade,2014,813.0,LIBERDADE
Limão,2014,2637.0,LIMAO
Mandaqui,2014,1630.0,MANDAQUI
Moema,2014,94.0,MOEMA
Vila Mariana,2014,682.0,VILA MARIANA
Vila Matilde,2014,2793.0,VILA MATILDE
Vila Medeiros,2014,3064.0,VILA MEDEIROS
Vila Prudente,2014,1963.0,VILA PRUDENTE
Vila Sônia,2014,3143.0,VILA SONIA
Água Rasa,2014,1239.0,AGUA RASA
Alto De Pinheiros,2014,117.0,ALTO DE PINHEIROS
Anhanguera,2014,2479.0,ANHANGUERA
Aricanduva,2014,3188.0,ARICANDUVA
Cursino,2014,2282.0,CURSINO
Ermelino Matarazzo,2014,7421.0,ERMELINO MATARAZZO
Freguesia Do Ó,2014,4923.0,FREGUESIA DO O
Grajaú,2014,27404.0,GRAJAU
Guaianases,2014,7736.0,GUAIANASES
Sacomã,2014,3232.0,SACOMA
Iguatemi,2014,10261.0,IGUATEMI
Brás,2014,737.0,BRAS
Brasilândia,2014,21372.0,BRASILANDIA
Butantã,2014,1123.0,BUTANTA
Cachoeirinha,2014,7916.0,CACHOEIRINHA
Campo Belo,2014,1032.0,CAMPO BELO
Campo Grande,2014,1622.0,CAMPO GRANDE
Cangaíba,2014,7917.0,CANGAIBA
Capão Redondo,2014,21914.0,CAPAO REDONDO
Carrão,2014,1414.0,CARRAO
Itaquera,2014,13246.0,ITAQUERA
Jabaquara,2014,8302.0,JABAQUARA
Jaçanã,2014,3423.0,JACANA
Jaguara,2014,501.0,JAGUARA
Jaraguá,2014,10405.0,JARAGUA
Jardim Ângela,2014,24163.0,JARDIM ANGELA
Jardim Helena,2014,12931.0,JARDIM HELENA
Jaguaré,2014,1709.0,JAGUARE
Artur Alvim,2014,4889.0,ARTUR ALVIM
Barra Funda,2014,393.0,BARRA FUNDA
Bela Vista,2014,1059.0,BELA VISTA
Belém,2014,992.0,BELEM
Bom Retiro,2014,1032.0,BOM RETIRO
Cambuci,2014,661.0,CAMBUCI
Casa Verde,2014,2046.0,CASA VERDE
Cidade Ademar,2014,16006.0,CIDADE ADEMAR
Moóca,2014,921.0,MOOCA
Morumbi,2014,2386.0,MORUMBI
Parelheiros,2014,10823.0,PARELHEIROS
São Rafael,2014,901.0,SAO RAFAEL
Sapopemba,2014,2638.0,SAPOPEMBA
Marsilac,2014,432.0,MARSILAC
Ponte Rasa,2014,4435.0,PONTE RASA
Campo Limpo,2014,12913.0,CAMPO LIMPO
Cidade Dutra,2014,12569.0,CIDADE DUTRA
Cidade Líder,2014,6210.0,CIDADE LIDER
Cidade Tiradentes,2014,15322.0,CIDADE TIRADENTES
Consolação,2014,116.0,CONSOLACAO
Parque Do Carmo,2015,9760.0,PARQUE DO CARMO
Pedreira,2015,3374.0,PEDREIRA
Penha,2015,227.0,PENHA
Perdizes,2015,6122.0,PERDIZES
Perus,2015,419.0,PERUS
Pinheiros,2015,5778.0,PINHEIROS
Pirituba,2015,3201.0,PIRITUBA
Raposo Tavares,2015,3657.0,RAPOSO TAVARES
República,2015,2225.0,REPUBLICA
Rio Pequeno,2015,3599.0,RIO PEQUENO
Santa Cecília,2015,3464.0,SANTA CECILIA
Santana,2015,10434.0,SANTANA
Santo Amaro,2015,5451.0,SANTO AMARO
São Domingos,2015,13728.0,SAO DOMINGOS
São Lucas,2015,9152.0,SAO LUCAS
São Mateus,2015,1545.0,SAO MATEUS
São Miguel,2015,17775.0,SAO MIGUEL
